RANK,TEAM,GM,OPP FG,OPP FGA,OPP FG%
1,Houston,40,786,2054,38.267
2,San Diego St.,31,654,1709,38.268
3,George Mason,36,778,2031,38.306
4,Duke,39,879,2287,38.435
5,South Alabama,32,702,1822,38.529
6,Hofstra,33,707,1833,38.571
7,Tennessee,38,834,2161,38.593
8,VCU,35,747,1911,39.089
9,App State,31,728,1862,39.098
10,UC Irvine,39,957,2434,39.318
11,New Mexico St.,32,703,1775,39.606
12,Little Rock,33,732,1848,39.61
13,UC San Diego,35,743,1873,39.669
14,St. John's (NY),36,836,2107,39.677
15,UNC Greensboro,32,717,1794,39.967
16,Florida,40,976,2441,39.984
17,Kansas,34,837,2091,40.029
18,Michigan,37,938,2340,40.085
19,Wake Forest,32,737,1835,40.163
20,SIUE,34,786,1954,40.225
21,McNeese,35,772,1918,40.25
22,Elon,33,832,2058,40.428
23,CSUN,33,740,1830,40.437
24,Bradley,37,856,2115,40.473
25,Arkansas St.,36,873,2156,40.492
26,Michigan St.,37,876,2163,40.499
27,Liberty,35,823,2032,40.502
28,Troy,34,791,1950,40.564
29,Texas Southern,32,792,1952,40.574
30,Texas A&M,34,765,1884,40.605
31,Auburn,38,894,2192,40.785
32,Lamar University,33,763,1870,40.802
33,West Virginia,32,728,1780,40.899
34,Marist,30,672,1642,40.926
35,Yale,30,723,1766,40.94
36,LIU,33,698,1703,40.986
37,Saint Peter's,28,624,1522,40.999
38,Western Ky.,32,790,1926,41.018
39,Jacksonville St.,36,882,2146,41.1
40,Saint Mary's (CA),35,797,1939,41.104
41,Mount St. Mary's,36,903,2196,41.12
42,Tulane,34,824,2003,41.138
43,Central Conn. St.,32,770,1871,41.154
44,Grand Canyon,34,836,2027,41.243
45,Merrimack,33,759,1838,41.295
46,Louisiana Tech,32,779,1886,41.304
47,SMU,35,856,2072,41.313
48,North Texas,36,738,1785,41.345
49,Georgia,33,810,1959,41.348
50,Saint Joseph's,35,878,2122,41.376
51,Gonzaga,35,871,2105,41.378
52,Creighton,36,979,2364,41.413
53,Utah Valley,34,831,2006,41.426
54,Kennesaw St.,33,815,1967,41.434
55,Southeast Mo. St.,33,755,1822,41.438
56,Arkansas,36,916,2208,41.486
57,Norfolk St.,35,830,1999,41.521
58,Drexel,33,808,1944,41.564
59,Maryland,36,886,2131,41.577
60,Wisconsin,37,937,2252,41.607
61,Nicholls,33,806,1937,41.611
62,Bryant,35,936,2248,41.637
63,SFA,31,747,1793,41.662
64,Vermont,33,765,1834,41.712
65,Grambling,34,816,1955,41.739
66,Tennessee St.,33,839,2010,41.741
67,A&M-Corpus Christi,34,784,1876,41.791
68,Florida St.,32,779,1864,41.792
69,Mercer,33,853,2037,41.875
70,Arizona,37,953,2274,41.909
71,Memphis,35,888,2118,41.926
72,Loyola Chicago,37,881,2101,41.932
73,Rice,32,775,1847,41.96
74,Kent St.,36,826,1968,41.972
75,Iowa St.,35,841,2001,42.029
76,Southern U.,32,727,1729,42.047
77,Evansville,32,767,1824,42.05
78,UConn,35,795,1889,42.086
79,Georgia Tech,34,875,2079,42.088
80,Utah,33,832,1975,42.127
81,Colorado St.,36,854,2025,42.173
82,Saint Louis,34,893,2117,42.182
83,Coastal Carolina,32,783,1855,42.21
84,Quinnipiac,33,847,2006,42.223
85,Wagner,30,610,1444,42.244
86,St. Bonaventure,34,798,1889,42.245
87,Furman,35,877,2076,42.245
88,George Washington,34,846,2001,42.279
89,Illinois,35,972,2298,42.298
90,Northwestern St.,32,765,1805,42.382
91,UNLV,33,785,1851,42.41
92,UT Martin,33,807,1902,42.429
93,Eastern Ill.,31,714,1680,42.5
94,Youngstown St.,34,862,2028,42.505
95,South Dakota St.,32,821,1931,42.517
96,ETSU,32,750,1764,42.517
97,LSU,32,853,2006,42.522
98,FGCU,34,830,1951,42.542
99,Texas Tech,37,897,2108,42.552
100,LMU (CA),32,823,1934,42.554
101,Alabama,37,1074,2523,42.568
102,Middle Tenn.,34,881,2069,42.581
103,UCLA,34,753,1765,42.663
104,Binghamton,32,809,1896,42.669
105,High Point,35,846,1982,42.684
106,Lipscomb,35,911,2134,42.69
107,UC Santa Barbara,34,826,1934,42.709
108,Portland St.,32,777,1819,42.716
