RANk,TEAM,G,FGM,3PG,FGA,PCT,
1,Cornell,29,886,325,1770,0.592,
2,Liberty,35,958,367,1959,0.583,
3,North Dakota St.,32,871,380,1826,0.581,
4,Northern Colo,35,1024,294,2019,0.58,
5,Duke,39,1129,394,2289,0.579,
6,Illinois St,36,956,352,1985,0.57,
7,Miami (OH),34,985,363,2046,0.57,
8,BYU,36,1042,378,2161,0.57,
9,Bradley,37,993,353,2056,0.569,
10,Iowa,33,1011,322,2065,0.568,
11,Wright St.,33,952,279,1928,0.566,
12,Alabama,37,1147,390,2371,0.566,
13,Washington St.,34,968,295,1971,0.566,
14,Saint Louis,34,899,333,1886,0.565,
15,Montana,35,964,256,1934,0.565,
16,High Point,35,1000,290,2031,0.564,
17,Chattanooga,38,1072,372,2239,0.562,
18,Creighton,36,974,344,2041,0.561,
19,Gonzaga,35,1108,263,2212,0.56,
20,Santa Clara,34,990,372,2099,0.56,
21,Utah St.,34,953,300,1970,0.56,
22,UMBC,32,929,287,1917,0.559,
23,Purdue,36,985,297,2027,0.559,
24,Kentucky,36,1065,341,2211,0.559,
25,UMass Lowell,32,916,226,1843,0.558,
26,Missouri,34,939,296,1949,0.558,
27,Lipscomb,35,958,344,2035,0.555,
28,Colorado St.,36,953,310,1996,0.555,
29,UC San Diego,35,954,375,2058,0.555,
30,Cal Poly,35,1011,403,2187,0.554,
31,Purdue Fort Wayne,32,918,330,1955,0.554,
32,UC Santa Barbara,34,875,340,1891,0.553,
33,UNI,33,872,236,1792,0.552,
34,Akron,35,1060,376,2260,0.552,
35,Yale,30,896,229,1830,0.552,
36,Furman,35,927,380,2024,0.552,
37,Indiana St.,32,877,323,1884,0.551,
38,Delaware,36,988,316,2081,0.551,
39,Belmont,33,945,347,2033,0.55,
40,UConn,35,954,299,2008,0.55,
41,Auburn,38,1116,343,2344,0.549,
42,Iowa St.,35,982,268,2034,0.549,
43,Florida,40,1182,390,2510,0.549,
44,Southern California,35,957,251,1975,0.548,
45,Oregon St.,33,872,232,1804,0.548,
46,Bellarmine,31,814,281,1743,0.548,
47,Texas Tech,37,1059,371,2274,0.547,
48,Drake,35,846,232,1759,0.547,
49,SMU,35,990,275,2069,0.545,
50,Villanova,36,926,344,2015,0.545,
51,Samford,33,970,356,2107,0.545,
52,Oklahoma,34,886,288,1894,0.544,
53,Colgate,33,888,287,1897,0.544,
54,William & Mary,32,842,336,1858,0.544,
55,South Dakota St.,32,913,277,1937,0.543,
56,McNeese,35,963,263,2019,0.542,
57,Ohio,32,899,275,1915,0.541,
58,North Carolina,37,1059,295,2230,0.541,
59,Penn St.,31,858,222,1792,0.541,
60,Xavier,34,905,285,1938,0.541,
61,North Florida,32,944,409,2125,0.54,
62,Winthrop,34,978,275,2064,0.54,
63,A&M-Corpus Christi,34,968,199,1976,0.54,
64,Howard,32,854,273,1837,0.539,
65,Bucknell,33,862,268,1850,0.538,
66,Central Conn. St.,32,870,226,1827,0.538,
67,Michigan,37,1011,301,2160,0.538,
68,Wisconsin,37,991,366,2184,0.538,
69,Nevada,33,845,228,1785,0.537,
70,FGCU,34,934,270,1990,0.537,
71,Holy Cross,32,824,292,1806,0.537,
72,Butler,35,894,299,1944,0.537,
73,UNC Asheville,32,942,255,1993,0.537,
74,Louisiana Tech,32,830,248,1780,0.536,
75,Maryland,36,1039,292,2212,0.536,
76,Ohio St.,32,878,261,1884,0.535,
77,Fla. Atlantic,34,954,296,2059,0.535,
78,Norfolk St.,35,968,185,1983,0.535,
79,Memphis,35,981,260,2078,0.535,
80,Wofford,35,935,340,2068,0.534,
81,UIW,36,982,279,2099,0.534,
82,Saint Francis,34,902,281,1952,0.534,
83,Clemson,34,930,288,2012,0.534,
84,Arizona,37,1076,266,2268,0.533,
85,Columbia,27,771,222,1655,0.533,
86,Loyola Chicago,37,972,315,2122,0.532,
87,Louisville,35,947,328,2088,0.532,
88,Dayton,34,874,283,1910,0.532,
89,UNCW,35,971,255,2067,0.531,
90,Rhode Island,31,828,236,1782,0.531,
91,Kansas,34,984,253,2093,0.531,
92,Presbyterian,33,894,239,1911,0.53,
93,Boise St.,37,958,277,2071,0.529,
94,South Carolina St.,33,902,234,1926,0.529,
95,Omaha,35,941,288,2051,0.529,
96,Montana St.,33,835,270,1834,0.529,
97,UCLA,34,909,252,1960,0.528,
98,San Francisco,35,929,302,2047,0.528,
99,UTRGV,31,872,328,1965,0.527,
100,Virginia,32,739,266,1656,0.527,
101,Binghamton,32,800,227,1735,0.527,
102,Texas,35,956,264,2067,0.526,
103,Eastern Mich.,32,833,241,1812,0.526,
104,Niagara,31,747,251,1659,0.526,
105,VCU,35,929,337,2088,0.526,
106,Tennessee,38,967,313,2138,0.525,
107,Oregon,35,947,271,2060,0.525,
108,DePaul,34,881,314,1976,0.525,
109,Drexel,33,870,254,1898,0.525,
110,Col. of Charleston,33,892,276,1962,0.525,
111,Davidson,33,859,266,1891,0.525,
112,Portland St.,32,913,201,1932,0.525,
113,Illinois,35,1006,330,2233,0.524,
114,UIC,31,831,250,1827,0.523,
115,American,35,840,299,1893,0.523,
116,Arkansas,36,978,253,2115,0.522,
117,Idaho,33,823,308,1871,0.522,
118,Pittsburgh,32,834,265,1851,0.522,
119,CSUN,33,952,219,2035,0.522,
-,UNC Greensboro,32,818,294,1850,0.522,
121,Florida A&M,31,758,279,1721,0.521,
122,Weber St.,34,866,252,1903,0.521,
123,Providence,32,807,297,1833,0.521,
124,Maine,34,893,225,1929,0.521,
125,Radford,33,824,242,1813,0.521,
126,George Mason,36,869,250,1908,0.521,
127,Georgia,33,860,228,1870,0.521,
128,Lehigh,30,758,236,1682,0.521,
129,Utah Valley,34,912,205,1948,0.521,
130,Northern Ariz.,34,955,275,2098,0.521,
131,Nebraska,35,928,263,2035,0.521,
132,UT Arlington,31,799,269,1793,0.521,
133,Dartmouth,28,748,284,1710,0.52,
134,Princeton,30,791,316,1824,0.52,
135,Sam Houston,32,827,276,1855,0.52,
136,Southern Ill.,33,875,222,1896,0.52,
137,Marquette,34,943,321,2123,0.52,
138,N.C. Central,33,915,242,1994,0.52,
139,Miami (FL),31,849,223,1849,0.519,
140,Mississippi St.,34,971,288,2147,0.519,
141,Longwood,32,847,206,1830,0.519,
142,Ball St.,31,781,221,1718,0.519,
143,Gardner-Webb,31,824,194,1775,0.519,
144,Tulane,34,874,261,1936,0.519,
145,Oral Roberts,30,738,280,1693,0.519,
146,Tennessee St.,33,909,219,1964,0.519,
147,South Alabama,32,814,273,1835,0.518,
148,North Ala.,35,998,267,2185,0.518,
149,Utah,33,875,281,1961,0.518,
150,Southeast Mo. St.,33,901,242,1974,0.518,
151,Houston,40,1070,326,2384,0.517,
152,Notre Dame,33,851,251,1889,0.517,
153,Central Mich.,31,835,198,1807,0.517,
154,Eastern Wash.,32,818,216,1792,0.517,
155,Brown,27,723,221,1613,0.517,
156,UC Irvine,39,1017,278,2238,0.517,
157,Milwaukee,32,907,189,1939,0.517,
158,IU Indy,32,803,328,1873,0.516,
159,Bryant,35,1054,271,2304,0.516,
160,Saint Joseph's,35,907,323,2070,0.516,
161,Sacred Heart,33,895,318,2043,0.516,
162,James Madison,32,823,287,1874,0.516,
163,Middle Tenn.,34,945,259,2084,0.516,
164,Vanderbilt,33,915,267,2034,0.515,
165,Ark.-Pine Bluff,31,834,225,1838,0.515,
166,New Mexico,35,1010,243,2198,0.515,
